Code,Borough,Year,Crime rate,,,,,,,,,,
E09000402,Merton,2003,99.0,,,,,,,,,,
E09000064,Brent,2007,99.3,,,,,,,,,,
E09000350,Kingston upon Thames,2005,99.3,,,,,,,,,,
E09000520,Tower Hamlets,2013,99.5,,,,,,,,,,
E09000485,Southwark,2014,99.6,,,,,,,,,,
E09000151,Enfield,2004,99.7,,,,,,,,,,
E09000299,Hounslow,2008,99.8,,,,,,,,,,
E09000325,Islington,2016,99.9,,,,,,,,,,
E09000344,Kingston upon Thames,1999,100.3,,,,,,,,,,
E09000014,Barking and Dagenham,2011,100.7,,,,,,,,,,
E09000429,Newham,2012,101.0,,,,,,,,,,
E09000022,Barnet,2001,101.0,,,,,,,,,,
E09000137,Ealing,2008,101.1,,,,,,,,,,
E09000196,Hackney,2013,101.1,,,,,,,,,,
E09000198,Hackney,2015,101.1,,,,,,,,,,
E09000068,Brent,2011,101.2,,,,,,,,,,
E09000298,Hounslow,2007,101.2,,,,,,,,,,
E09000230,Haringey,2011,101.4,,,,,,,,,,
E09000486,Southwark,2015,101.7,,,,,,,,,,
E09000147,Enfield,2000,101.9,,,,,,,,,,
E09000138,Ealing,2009,102.0,,,,,,,,,,
E09000077,Bromley,2002,102.1,,,,,,,,,,
E09000280,Hillingdon,2007,102.7,,,,,,,,,,
E09000116,Croydon,2005,102.8,,,,,,,,,,
E09000080,Bromley,2005,102.8,,,,,,,,,,
E09000228,Haringey,2009,103.1,,,,,,,,,,
E09000428,Newham,2011,103.1,,,,,,,,,,
E09000109,Camden,2016,103.1,,,,,,,,,,
E09000434,Redbridge,1999,103.2,,,,,,,,,,
E09000079,Bromley,2004,103.5,,,,,,,,,,
E09000377,Lambeth,2014,103.8,,,,,,,,,,
E09000115,Croydon,2004,103.8,,,,,,,,,,
E09000349,Kingston upon Thames,2004,103.9,,,,,,,,,,
E09000078,Bromley,2003,104.0,,,,,,,,,,
E09000549,Wandsworth,2006,104.5,,,,,,,,,,
E09000484,Southwark,2013,104.5,,,,,,,,,,
E09000376,Lambeth,2013,104.8,,,,,,,,,,
E09000146,Enfield,1999,104.8,,,,,,,,,,
E09000139,Ealing,2010,104.9,,,,,,,,,,
E09000013,Barking and Dagenham,2010,104.9,,,,,,,,,,
E09000174,Greenwich,2009,105.1,,,,,,,,,,
E09000435,Redbridge,2000,105.2,,,,,,,,,,
E09000439,Redbridge,2004,105.2,,,,,,,,,,
E09000111,Croydon,2000,105.4,,,,,,,,,,
E09000391,Lewisham,2010,105.9,,,,,,,,,,
E09000148,Enfield,2001,106.0,,,,,,,,,,
E09000214,Hammersmith and Fulham,2013,106.2,,,,,,,,,,
E09000548,Wandsworth,2005,106.4,,,,,,,,,,
E09000150,Enfield,2003,106.4,,,,,,,,,,
E09000026,Barnet,2005,106.5,,,,,,,,,,
E09000136,Ealing,2007,106.6,,,,,,,,,,
E09000149,Enfield,2002,107.0,,,,,,,,,,
E09000023,Barnet,2002,107.1,,,,,,,,,,
E09000272,Hillingdon,1999,107.2,,,,,,,,,,
E09000297,Hounslow,2006,107.3,,,,,,,,,,
E09000378,Lambeth,2015,107.9,,,,,,,,,,
E09000533,Waltham Forest,2008,108.4,,,,,,,,,,
E09000535,Waltham Forest,2010,108.4,,,,,,,,,,
E09000273,Hillingdon,2000,108.7,,,,,,,,,,
E09000348,Kingston upon Thames,2003,109.0,,,,,,,,,,
E09000532,Waltham Forest,2007,109.3,,,,,,,,,,
E09000390,Lewisham,2009,109.3,,,,,,,,,,
E09000343,Kensington and Chelsea,2016,109.8,,,,,,,,,,
E09000534,Waltham Forest,2009,109.9,,,,,,,,,,
E09000063,Brent,2006,110.2,,,,,,,,,,
E09000114,Croydon,2003,110.3,,,,,,,,,,
E09000195,Hackney,2012,110.3,,,,,,,,,,
E09000381,Lewisham,2000,110.3,,,,,,,,,,
E09000519,Tower Hamlets,2012,110.6,,,,,,,,,,
E09000279,Hillingdon,2006,110.6,,,,,,,,,,
E09000483,Southwark,2012,111.6,,,,,,,,,,
E09000012,Barking and Dagenham,2009,111.7,,,,,,,,,,
E09000112,Croydon,2001,111.8,,,,,,,,,,
E09000277,Hillingdon,2004,111.8,,,,,,,,,,
E09000227,Haringey,2008,112.0,,,,,,,,,,
E09000516,Tower Hamlets,2009,112.2,,,,,,,,,,
E09000375,Lambeth,2012,112.5,,,,,,,,,,
E09000024,Barnet,2003,112.8,,,,,,,,,,
E09000278,Hillingdon,2005,112.9,,,,,,,,,,
E09000194,Hackney,2011,112.9,,,,,,,,,,
E09000383,Lewisham,2002,113.4,,,,,,,,,,
E09000547,Wandsworth,2004,113.6,,,,,,,,,,
E09000215,Hammersmith and Fulham,2014,113.6,,,,,,,,,,
E09000110,Croydon,1999,113.7,,,,,,,,,,
E09000382,Lewisham,2001,114.1,,,,,,,,,,
E09000322,Islington,2013,114.1,,,,,,,,,,
E09000216,Hammersmith and Fulham,2015,114.3,,,,,,,,,,
E09000427,Newham,2010,114.9,,,,,,,,,,
E09000438,Redbridge,2003,114.9,,,,,,,,,,
E09000518,Tower Hamlets,2011,115.0,,,,,,,,,,
E09000113,Croydon,2002,115.1,,,,,,,,,,
E09000517,Tower Hamlets,2010,115.3,,,,,,,,,,
E09000340,Kensington and Chelsea,2013,115.5,,,,,,,,,,
E09000010,Barking and Dagenham,2007,115.6,,,,,,,,,,
E09000436,Redbridge,2001,115.8,,,,,,,,,,
E09000193,Hackney,2010,115.9,,,,,,,,,,
E09000011,Barking and Dagenham,2008,115.9,,,,,,,,,,
E09000525,Waltham Forest,2000,116.5,,,,,,,,,,
E09000135,Ealing,2006,116.5,,,,,,,,,,
E09000025,Barnet,2004,117.0,,,,,,,,,,
E09000133,Ealing,2004,117.4,,,,,,,,,,
E09000437,Redbridge,2002,117.6,,,,,,,,,,
E09000275,Hillingdon,2002,118.2,,,,,,,,,,
E09000276,Hillingdon,2003,118.3,,,,,,,,,,
E09000380,Lewisham,1999,118.4,,,,,,,,,,
E09000274,Hillingdon,2001,118.4,,,,,,,,,,
E09000389,Lewisham,2008,118.4,,,,,,,,,,
E09000323,Islington,2014,118.6,,,,,,,,,,
E09000388,Lewisham,2007,118.9,,,,,,,,,,
E09000134,Ealing,2005,119.2,,,,,,,,,,
E09000482,Southwark,2011,119.4,,,,,,,,,,
E09000515,Tower Hamlets,2008,119.5,,,,,,,,,,
E09000426,Newham,2009,119.6,,,,,,,,,,
E09000173,Greenwich,2008,119.6,,,,,,,,,,
E09000373,Lambeth,2010,119.8,,,,,,,,,,
E09000002,Barking and Dagenham,1999,120.5,,,,,,,,,,
E09000372,Lambeth,2009,120.6,,,,,,,,,,
E09000341,Kensington and Chelsea,2014,120.6,,,,,,,,,,
E09000107,Camden,2014,121.0,,,,,,,,,,
E09000213,Hammersmith and Fulham,2012,121.1,,,,,,,,,,
E09000425,Newham,2008,121.2,,,,,,,,,,
E09000546,Wandsworth,2003,121.3,,,,,,,,,,
E09000192,Hackney,2009,121.4,,,,,,,,,,
E09000374,Lambeth,2011,121.5,,,,,,,,,,
E09000296,Hounslow,2005,121.7,,,,,,,,,,
E09000371,Lambeth,2008,121.7,,,,,,,,,,
E09000524,Waltham Forest,1999,122.3,,,,,,,,,,
E09000005,Barking and Dagenham,2002,122.6,,,,,,,,,,
E09000057,Brent,2000,122.7,,,,,,,,,,
E09000132,Ealing,2003,123.1,,,,,,,,,,
E09000058,Brent,2001,123.4,,,,,,,,,,
E09000003,Barking and Dagenham,2000,123.6,,,,,,,,,,
E09000324,Islington,2015,123.6,,,,,,,,,,
E09000004,Barking and Dagenham,2001,124.0,,,,,,,,,,
E09000059,Brent,2002,124.3,,,,,,,,,,
E09000226,Haringey,2007,124.5,,,,,,,,,,
E09000387,Lewisham,2006,124.6,,,,,,,,,,
E09000342,Kensington and Chelsea,2015,124.7,,,,,,,,,,
E09000106,Camden,2013,124.7,,,,,,,,,,
E09000108,Camden,2015,125.2,,,,,,,,,,
E09000384,Lewisham,2003,125.3,,,,,,,,,,
E09000531,Waltham Forest,2006,125.4,,,,,,,,,,
E09000370,Lambeth,2007,125.8,,,,,,,,,,
E09000129,Ealing,2000,126.7,,,,,,,,,,
E09000210,Hammersmith and Fulham,2009,127.0,,,,,,,,,,
E09000295,Hounslow,2004,127.2,,,,,,,,,,
E09000130,Ealing,2001,127.3,,,,,,,,,,
E09000171,Greenwich,2006,127.5,,,,,,,,,,
E09000056,Brent,1999,127.7,,,,,,,,,,
E09000481,Southwark,2010,127.7,,,,,,,,,,
E09000009,Barking and Dagenham,2006,127.9,,,,,,,,,,
E09000128,Ealing,1999,128.2,,,,,,,,,,
E09000212,Hammersmith and Fulham,2011,128.4,,,,,,,,,,
E09000191,Hackney,2008,128.6,,,,,,,,,,
E09000336,Kensington and Chelsea,2009,129.0,,,,,,,,,,
E09000172,Greenwich,2007,129.4,,,,,,,,,,
E09000209,Hammersmith and Fulham,2008,129.5,,,,,,,,,,
E09000007,Barking and Dagenham,2004,129.5,,,,,,,,,,
E09000062,Brent,2005,129.7,,,,,,,,,,
E09000131,Ealing,2002,129.8,,,,,,,,,,
E09000543,Wandsworth,2000,129.8,,,,,,,,,,
E09000386,Lewisham,2005,131.0,,,,,,,,,,
E09000320,Islington,2011,131.0,,,,,,,,,,
E09000529,Waltham Forest,2004,131.1,,,,,,,,,,
E09000225,Haringey,2006,131.2,,,,,,,,,,
E09000338,Kensington and Chelsea,2011,131.2,,,,,,,,,,
E09000165,Greenwich,2000,131.3,,,,,,,,,,
E09000544,Wandsworth,2001,131.4,,,,,,,,,,
E09000208,Hammersmith and Fulham,2007,131.6,,,,,,,,,,
E09000545,Wandsworth,2002,131.7,,,,,,,,,,
E09000480,Southwark,2009,131.8,,,,,,,,,,
E09000337,Kensington and Chelsea,2010,132.0,,,,,,,,,,
E09000321,Islington,2012,132.0,,,,,,,,,,
E09000061,Brent,2004,132.6,,,,,,,,,,
E09000008,Barking and Dagenham,2005,132.7,,,,,,,,,,
E09000530,Waltham Forest,2005,132.9,,,,,,,,,,
E09000424,Newham,2007,133.1,,,,,,,,,,
E09000006,Barking and Dagenham,2003,133.2,,,,,,,,,,
E09000166,Greenwich,2001,133.3,,,,,,,,,,
E09000211,Hammersmith and Fulham,2010,133.5,,,,,,,,,,
E09000060,Brent,2003,133.6,,,,,,,,,,
E09000339,Kensington and Chelsea,2012,133.6,,,,,,,,,,
E09000542,Wandsworth,1999,134.5,,,,,,,,,,
E09000335,Kensington and Chelsea,2008,135.2,,,,,,,,,,
E09000291,Hounslow,2000,135.2,,,,,,,,,,
E09000170,Greenwich,2005,136.0,,,,,,,,,,
E09000526,Waltham Forest,2001,136.3,,,,,,,,,,
E09000514,Tower Hamlets,2007,137.1,,,,,,,,,,
E09000169,Greenwich,2004,137.3,,,,,,,,,,
E09000528,Waltham Forest,2003,137.9,,,,,,,,,,
E09000423,Newham,2006,138.0,,,,,,,,,,
E09000385,Lewisham,2004,138.0,,,,,,,,,,
E09000369,Lambeth,2006,138.6,,,,,,,,,,
E09000292,Hounslow,2001,138.6,,,,,,,,,,
E09000168,Greenwich,2003,139.8,,,,,,,,,,
E09000319,Islington,2010,140.3,,,,,,,,,,
E09000294,Hounslow,2003,140.5,,,,,,,,,,
E09000167,Greenwich,2002,140.9,,,,,,,,,,
E09000164,Greenwich,1999,141.4,,,,,,,,,,
E09000189,Hackney,2006,141.5,,,,,,,,,,
E09000479,Southwark,2008,141.8,,,,,,,,,,
E09000421,Newham,2004,143.3,,,,,,,,,,
E09000190,Hackney,2007,143.6,,,,,,,,,,
E09000527,Waltham Forest,2002,144.2,,,,,,,,,,
E09000334,Kensington and Chelsea,2007,144.2,,,,,,,,,,
E09000318,Islington,2009,144.5,,,,,,,,,,
E09000290,Hounslow,1999,144.8,,,,,,,,,,
E09000207,Hammersmith and Fulham,2006,145.0,,,,,,,,,,
E09000105,Camden,2012,146.0,,,,,,,,,,
E09000478,Southwark,2007,146.8,,,,,,,,,,
E09000332,Kensington and Chelsea,2005,146.9,,,,,,,,,,
E09000333,Kensington and Chelsea,2006,147.2,,,,,,,,,,
E09000477,Southwark,2006,148.4,,,,,,,,,,
E09000219,Haringey,2000,149.2,,,,,,,,,,
E09000206,Hammersmith and Fulham,2005,149.2,,,,,,,,,,
E09000513,Tower Hamlets,2006,149.4,,,,,,,,,,
E09000368,Lambeth,2005,151.2,,,,,,,,,,
E09000293,Hounslow,2002,151.4,,,,,,,,,,
E09000317,Islington,2008,153.0,,,,,,,,,,
E09000422,Newham,2005,153.7,,,,,,,,,,
E09000224,Haringey,2005,154.3,,,,,,,,,,
E09000218,Haringey,1999,155.9,,,,,,,,,,
E09000223,Haringey,2004,157.0,,,,,,,,,,
E09000205,Hammersmith and Fulham,2004,157.7,,,,,,,,,,
E09000417,Newham,2000,158.0,,,,,,,,,,
E09000512,Tower Hamlets,2005,158.2,,,,,,,,,,
